threshold,tpr,fpr,precision,recall,f1
1.000000001,0.0,0.0,0.0,0.0,0.0
1.0,0.6681614349775785,0.039117878708322396,0.5,0.6681614349775785,0.5719769673704416
0.9999998807907104,0.7174887892376681,0.04121816749803098,0.5047318611987381,0.7174887892376681,0.5925925925925926
0.9999997615814208,0.7309417040358744,0.043055920189025994,0.4984709480122324,0.7309417040358744,0.5927272727272728
0.9999996423721312,0.7443946188340808,0.043318456287739567,0.5015105740181269,0.7443946188340808,0.5992779783393504
0.9999995231628418,0.757847533632287,0.04358099238645314,0.5044776119402985,0.757847533632287,0.6057347670250895
0.9999994039535522,0.757847533632287,0.04436860068259386,0.5,0.757847533632287,0.6024955436720143
0.9999992847442628,0.7623318385650224,0.04463113678130743,0.5,0.7623318385650224,0.6039076376554174
0.9999991655349731,0.7713004484304933,0.04646888947230244,0.49283667621776506,0.7713004484304933,0.6013986013986015
0.9999990463256836,0.7713004484304933,0.046993961669729585,0.49002849002849,0.7713004484304933,0.5993031358885018
0.999998927116394,0.7713004484304933,0.04725649776844316,0.48863636363636365,0.7713004484304933,0.5982608695652174
0.9999986886978148,0.7713004484304933,0.04778156996587031,0.4858757062146893,0.7713004484304933,0.5961871750433276
0.9999985694885254,0.7757847533632287,0.048306642163297456,0.484593837535014,0.7757847533632287,0.596551724137931
0.9999984502792358,0.7757847533632287,0.0488317143607246,0.4818941504178273,0.7757847533632287,0.5945017182130584
0.9999983310699464,0.7757847533632287,0.049094250459438174,0.48055555555555557,0.7757847533632287,0.5934819897084048
0.9999982118606568,0.7757847533632287,0.04961932265686532,0.47790055248618785,0.7757847533632287,0.5914529914529915
0.9999980926513672,0.7757847533632287,0.050144394854292465,0.47527472527472525,0.7757847533632287,0.5894378194207837
0.9999979734420776,0.7802690582959642,0.05040693095300604,0.47540983606557374,0.7802690582959642,0.5908319185059423
0.999997854232788,0.7802690582959642,0.05066946705171961,0.47411444141689374,0.7802690582959642,0.5898305084745762
0.999997615814209,0.7847533632286996,0.051194539249146756,0.47297297297297297,0.7847533632286996,0.5902192242833052
0.9999971389770508,0.7847533632286996,0.05145707534786033,0.4716981132075472,0.7847533632286996,0.5892255892255893
0.999996781349182,0.7892376681614349,0.05145707534786033,0.4731182795698925,0.7892376681614349,0.5915966386554621
0.9999966621398926,0.7892376681614349,0.051982147545287474,0.47058823529411764,0.7892376681614349,0.5896147403685092
0.999996542930603,0.7892376681614349,0.05224468364400105,0.4693333333333333,0.7892376681614349,0.588628762541806
0.9999964237213136,0.7937219730941704,0.05250721974271463,0.46949602122015915,0.7937219730941704,0.59
0.9999961853027344,0.7937219730941704,0.0527697558414282,0.46825396825396826,0.7937219730941704,0.589018302828619
0.9999959468841552,0.7982062780269058,0.0527697558414282,0.46965699208443273,0.7982062780269058,0.5913621262458472
0.9999958276748656,0.7982062780269058,0.05303229194014177,0.46842105263157896,0.7982062780269058,0.5903814262023217
0.9999955892562866,0.7982062780269058,0.053294828038855345,0.4671916010498688,0.7982062780269058,0.5894039735099338
0.9999954700469972,0.7982062780269058,0.05355736413756892,0.46596858638743455,0.7982062780269058,0.5884297520661157
0.999995231628418,0.8026905829596412,0.05355736413756892,0.46736292428198434,0.8026905829596412,0.5907590759075908
0.9999951124191284,0.8071748878923767,0.05355736413756892,0.46875,0.8071748878923767,0.5930807248764415
0.9999947547912598,0.8071748878923767,0.054344972433709636,0.46511627906976744,0.8071748878923767,0.5901639344262295
0.9999942779541016,0.8071748878923767,0.05460750853242321,0.4639175257731959,0.8071748878923767,0.5891980360065466
0.9999939203262328,0.8116591928251121,0.05460750853242321,0.4652956298200514,0.8116591928251121,0.5915032679738562
0.9999932050704956,0.8116591928251121,0.05487004463113678,0.4641025641025641,0.8116591928251121,0.5905383360522023
0.999993085861206,0.820627802690583,0.05487004463113678,0.46683673469387754,0.820627802690583,0.5951219512195123
0.9999929666519164,0.820627802690583,0.05539511682856393,0.46446700507614214,0.820627802690583,0.5931928687196111
0.9999927282333374,0.8251121076233184,0.05539511682856393,0.46582278481012657,0.8251121076233184,0.5954692556634305
0.9999924898147584,0.8251121076233184,0.0556576529272775,0.46464646464646464,0.8251121076233184,0.5945072697899839
0.9999921321868896,0.8251121076233184,0.05592018902599107,0.4634760705289673,0.8251121076233184,0.5935483870967743
0.9999920129776,0.8251121076233184,0.056182725124704645,0.4623115577889447,0.8251121076233184,0.5925925925925927
0.9999916553497314,0.8251121076233184,0.05644526122341822,0.46115288220551376,0.8251121076233184,0.5916398713826366
0.999991536140442,0.8295964125560538,0.05644526122341822,0.4625,0.8295964125560538,0.5939004815409311
0.9999914169311525,0.8295964125560538,0.05670779732213179,0.4613466334164589,0.8295964125560538,0.592948717948718
0.9999912977218628,0.8340807174887892,0.05670779732213179,0.4626865671641791,0.8340807174887892,0.5952000000000001
0.9999910593032836,0.8340807174887892,0.056970333420845364,0.46153846153846156,0.8340807174887892,0.5942492012779553
0.9999897480010986,0.8340807174887892,0.057232869519558936,0.4603960396039604,0.8340807174887892,0.5933014354066987
0.9999895095825196,0.8385650224215246,0.057232869519558936,0.4617283950617284,0.8385650224215246,0.5955414012738854
0.99998939037323,0.8385650224215246,0.05749540561827251,0.4605911330049261,0.8385650224215246,0.5945945945945946
0.999988317489624,0.8385650224215246,0.05775794171698609,0.4594594594594595,0.8385650224215246,0.5936507936507937
0.99998676776886,0.8430493273542601,0.05775794171698609,0.46078431372549017,0.8430493273542601,0.595879556259905
0.9999864101409912,0.8475336322869955,0.05802047781569966,0.4609756097560976,0.8475336322869955,0.5971563981042655
0.9999862909317015,0.8475336322869955,0.058283013914413234,0.45985401459854014,0.8475336322869955,0.5962145110410094
0.999985694885254,0.8475336322869955,0.05854555001312681,0.4587378640776699,0.8475336322869955,0.5952755905511811
0.999984860420227,0.8475336322869955,0.05880808611184038,0.4576271186440678,0.8475336322869955,0.5943396226415094
0.9999843835830688,0.8475336322869955,0.05907062221055395,0.45652173913043476,0.8475336322869955,0.5934065934065934
0.9999837875366212,0.8475336322869955,0.059333158309267525,0.45542168674698796,0.8475336322869955,0.5924764890282131
0.9999829530715942,0.8475336322869955,0.0595956944079811,0.4543269230769231,0.8475336322869955,0.5915492957746479
0.9999802112579346,0.8475336322869955,0.05985823050669467,0.45323741007194246,0.8475336322869955,0.5906250000000001
0.999979853630066,0.8475336322869955,0.06012076660540824,0.45215311004784686,0.8475336322869955,0.5897035881435257
0.9999796152114868,0.8475336322869955,0.060383302704121816,0.4510739856801909,0.8475336322869955,0.5887850467289719
0.9999786615371704,0.852017937219731,0.060383302704121816,0.4523809523809524,0.852017937219731,0.5909797822706065
0.999975562095642,0.852017937219731,0.06064583880283539,0.4513064133016627,0.852017937219731,0.5900621118012422
0.9999752044677734,0.852017937219731,0.06090837490154896,0.45023696682464454,0.852017937219731,0.5891472868217055
0.999975085258484,0.852017937219731,0.06143344709897611,0.4481132075471698,0.852017937219731,0.5873261205564142
